session_id,round_id,anchor,visual_treatment_id,paid,length,age,country,education,gender,nfctotal,rpstotal,round_payment,player_flips,round_score,round_num,live,firstSelected,checkBonus,bonusMissed,gameMode,condition,deltaT,numChecks,deltaTtoRational,waitingTime
447,1817,355,3,0,3000,24,0,4,M,37,43,0.05,['355'],355,0,No,,FALSE,0,3,15CD,0,1,8,1
447,1818,537,3,0,3000,24,0,4,M,37,43,0.13,"['537', '1162']",2275,1,No,"['1162','2431']",TRUE,0,3,15CD,12.155,2,-5.155,1
447,1820,342,3,0,3000,24,0,4,M,37,43,0.12,"['342', '1196']",2046,2,No,"['1196','2988','2287']",TRUE,0,3,15CD,9.96,3,-4.066666667,1
447,1821,755,3,0,3000,24,0,4,M,37,43,0.13,"['738', '755', '1424']",2131,3,No,"['738','1424','2424']",TRUE,0,3,15CD,8.08,3,-1.606666667,1
447,1823,488,3,0,3000,24,0,4,M,37,43,0.12,"['488', '1412']",1976,4,No,"['1412','2087','2685']",TRUE,0,3,15CD,8.95,3,-3.316666667,1
447,1826,2880,3,0,3000,24,0,4,M,37,43,0.14,"['1246', '1950', '2503', '2880']",2580,5,No,"['1246','1950','2503']",TRUE,0,3,15CD,8.343333333,3,-2.356666667,1
448,1819,2091,3,0,3000,20,0,2,F,40,21,0.05,"['87', '98', '109', '113', '125', '136', '166', '571', '670', '772', '856', '1234', '1280', '1295', '1321', '1356', '1375', '1405', '2091']",191,0,No,"['670','772','856','571','87','109','136','136','125','113','98','166','1280','1356','1405','1375','1234','1295','1321']",FALSE,0,1,NoWait,0.739473684,19,5.944210526,0
448,1822,1462,3,0,3000,20,0,2,F,40,21,0.09,"['1462', '2954']",1208,1,Yes,['2954'],TRUE,0,1,NoWait,29.54,1,-21.54,0
448,1827,307,3,0,3000,20,0,2,F,40,21,0.04,"['307', '2916']",91,2,Yes,['2916'],TRUE,0,1,NoWait,29.16,1,-21.16,0
448,1833,2146,3,0,3000,20,0,2,F,40,21,0.12,"['2146', '2958']",2088,3,No,['2958'],TRUE,0,1,NoWait,29.58,1,-21.58,0
448,1837,1529,3,0,3000,20,0,2,F,40,21,0.1,"['1529', '2977']",1452,4,No,['2977'],TRUE,0,1,NoWait,29.77,1,-21.77,0
448,1843,1889,3,0,3000,20,0,2,F,40,21,0.11,"['1889', '2981']",1808,5,No,['2981'],TRUE,0,1,NoWait,29.81,1,-21.81,0
451,1825,2828,3,0,3000,21,0,1,F,32,23,0.14,"['416', '1246', '2223', '2828']",2528,0,No,"['416','1246','2223']",TRUE,0,1,NoWait,7.41,3,-0.436666667,0
451,1832,2543,3,0,3000,21,0,1,F,32,23,0.14,"['503', '1257', '2015', '2543', '2594']",2549,1,No,"['503','1257','2015','2594']",FALSE,0,1,NoWait,6.485,4,-0.4225,0
