total_bonus,session_id,round_id,anchor,age,education,gender,nfctotal,rpstotal,round_payment,checks,round_score,round_num,live,checkBonus,bonusMissed,durationEstimation,delayEstimation,gameMode,condition,deltaT,numChecks,deltaTtoRational,waitingTime,day
0.47,2308,12793,1048,57,2,F,22,23,0.14,"['299', '560', '799', '1048', '1064']",2584,0,No,FALSE,1,15,2,2,5CD,2.537,10,2.869,3,Wednesday1
0.47,2308,12795,1250,57,2,F,22,23,0.14,"['386', '708', '1098', '1250', '1443']",2407,1,No,FALSE,1,15,2,2,5CD,3.521428571,7,2.047142857,3,Wednesday1
0.47,2308,12802,2548,57,2,F,22,23,0.14,"['594', '1268', '1905', '2548', '2571']",2577,2,No,TRUE,1,15,2,2,5CD,6.35,3,0.333333333,3,Wednesday1
0.47,2308,12810,291,57,2,F,22,23,0.14,"['291', '746']",2445,3,No,TRUE,1,15,2,2,5CD,6.236666667,3,0.236666667,3,Wednesday1
0.47,2308,12814,1732,57,2,F,22,23,0.12,"['515', '1109', '1719', '1732', '2356']",1976,4,No,TRUE,1,15,2,2,5CD,5.73,3,0.83,3,Wednesday1
0.47,2308,12827,1485,57,2,F,22,23,0.14,"['946', '1485', '1878']",2407,5,No,TRUE,1,15,2,2,5CD,9.39,2,-2.59,3,Wednesday1
0.6,2311,12798,69,35,5,M,37,21,0.13,"['69', '738']",2231,0,No,FALSE,0,10,3,5,30CD,7.38,1,0.62,0.5,Wednesday1
0.6,2311,12804,1989,35,5,M,37,21,0.15,"['950', '1989', '2034']",2755,1,No,TRUE,0,10,3,5,30CD,9.5,1,-1.5,0.5,Wednesday1
0.6,2311,12812,837,35,5,M,37,21,0.12,"['666', '837', '1515']",2122,2,No,TRUE,0,10,3,5,30CD,7.575,2,-0.515,0.5,Wednesday1
0.6,2311,12816,1225,35,5,M,37,21,0.12,"['973', '1225', '2015']",2010,3,No,TRUE,0,10,3,5,30CD,9.73,1,-1.73,0.5,Wednesday1
0.6,2311,12839,1044,35,5,M,37,21,0.13,"['696', '1044', '1507']",2337,4,No,TRUE,0,10,3,5,30CD,7.535,2,-0.475,0.5,Wednesday1
0.6,2311,12854,588,35,5,M,37,21,0.15,"['588', '704']",2784,5,No,TRUE,0,10,3,5,30CD,7.67,2,-0.61,0.5,Wednesday1
0.54,2309,12796,2166,33,4,F,34,32,0.13,"['598', '977', '1431', '1848', '2166', '2303']",2363,0,No,TRUE,0,20,10,3,15CD,4.62,4,1.635,1,Wednesday1
0.54,2309,12805,852,33,4,F,34,32,0.13,"['590', '852', '1507']",2145,1,No,TRUE,0,20,10,3,15CD,7.535,2,-0.335,1,Wednesday1
0.54,2309,12813,1875,33,4,F,34,32,0.13,"['928', '1685', '1875', '2359']",2216,2,No,TRUE,0,20,10,3,15CD,8.425,2,-1.625,1,Wednesday1
0.54,2309,12826,19,33,4,F,34,32,0.13,"['19', '666']",2253,3,No,TRUE,0,20,10,3,15CD,11.325,2,-4.825,1,Wednesday1
0.54,2309,12832,2603,33,4,F,34,32,0.13,"['534', '1140', '1787', '2412', '2603']",2203,4,No,TRUE,0,20,10,3,15CD,5.956666667,3,0.603333333,1,Wednesday1
0.54,2309,12851,2079,33,4,F,34,32,0.12,"['852', '1284', '1803', '2079', '2643']",2036,5,No,TRUE,0,20,10,3,15CD,8.81,3,-2.943333333,1,Wednesday1
0.58,2315,12809,2526,41,1,F,29,21,0.13,"['662', '1344', '2151', '2526']",2226,0,No,FALSE,0,4,15,3,15CD,6.72,2,0.34,1,Wednesday1
0.58,2315,12819,1149,41,1,F,29,21,0.12,"['958', '1149', '1909']",2040,1,No,TRUE,0,4,15,3,15CD,9.58,1,-1.58,1,Wednesday1
0.58,2315,12829,1807,41,1,F,29,21,0.13,"['606', '1321', '1807', '2185']",2322,2,No,TRUE,0,4,15,3,15CD,6.605,2,0.595,1,Wednesday1
0.58,2315,12847,2650,41,1,F,29,21,0.14,"['1079', '2117', '2650']",2450,3,No,TRUE,0,4,15,3,15CD,10.79,1,-2.79,1,Wednesday1
0.58,2315,12866,985,41,1,F,29,21,0.12,"['856', '985', '1734']",2051,4,No,TRUE,0,4,15,3,15CD,8.67,2,-1.87,1,Wednesday1
0.58,2315,12895,1098,41,1,F,29,21,0.15,"['549', '1098', '1238']",2660,5,No,TRUE,0,4,15,3,15CD,6.19,2,1.13,1,Wednesday1
0.61,2317,12820,162,61,4,F,35,37,0.14,"['162', '488']",2574,0,No,FALSE,0,30,12,5,30CD,4.7325,4,1.5775,0.5,Wednesday1
0.61,2317,12835,177,61,4,F,35,37,0.15,"['177', '299']",2778,1,No,TRUE,0,30,12,5,30CD,3.628,5,2.942,0.5,Wednesday1
0.61,2317,12849,1497,61,4,F,35,37,0.14,"['170', '492', '939', '1497', '1568']",2529,2,No,TRUE,0,30,12,5,30CD,3.92,4,3,0.5,Wednesday1
0.61,2317,12867,958,61,4,F,35,37,0.14,"['420', '958', '1056']",2502,3,Yes,TRUE,0,30,12,5,30CD,8.32,3,-2.013333333,0.5,Wednesday1
0.61,2317,12885,2666,61,4,F,35,37,0.13,"['310', '761', '1246', '1852', '2321', '2666', '2829']",2237,4,No,TRUE,0,30,12,5,30CD,4.642,5,1.642,0.5,Wednesday1
0.61,2317,12913,2813,61,4,F,35,37,0.13,"['352', '768', '1363', '1678', '2189', '2765', '2813']",2213,5,No,TRUE,0,30,12,5,30CD,5.53,5,0.318,0.5,Wednesday1
0.33,2328,12846,2907,48,4,F,36,23,0.12,"['299', '757', '1246', '1727', '2181', '2636', '2907']",2107,0,Yes,FALSE,2,20,13,4,20CD,4.362,5,1.906,0.75,Wednesday1
0.33,2328,12868,338,48,4,F,36,23,0.13,"['295', '303', '338', '609']",2229,1,Yes,FALSE,2,20,13,4,20CD,4.255,6,1.725,0.75,Wednesday1
0.33,2328,12882,1580,48,4,F,36,23,0.14,"['367', '772', '1219', '1580', '1598']",2382,2,Yes,FALSE,2,20,13,4,20CD,3.92,6,2.045,0.75,Wednesday1
0.33,2328,12901,463,48,4,F,36,23,0.12,"['454', '463', '939']",2124,3,Yes,TRUE,2,20,13,4,20CD,4.696,5,1.212,0.75,Wednesday1
0.33,2328,12914,2218,48,4,F,36,23,0.13,"['257', '662', '1064', '1473', '1871', '2218', '2242']",2176,4,Yes,TRUE,2,20,13,4,20CD,3.695714286,7,1.864285714,0.75,Wednesday1
0.33,2328,12935,1899,48,4,F,36,23,0.13,"['375', '727', '1117', '1518', '1899', '1916']",2283,5,Yes,TRUE,2,20,13,4,20CD,3.75,6,2.16,0.75,Wednesday1
0.52,2321,12834,632,24,4,M,35,34,0.13,"['390', '632', '1087']",2345,0,No,FALSE,0,10,1,3,15CD,5.435,2,2.025,1,Wednesday1
0.52,2321,12856,310,24,4,M,35,34,0.13,"['310', '863']",2347,1,No,TRUE,0,10,1,3,15CD,5.593333333,3,0.806666667,1,Wednesday1
0.52,2321,12869,2107,24,4,M,35,34,0.12,"['412', '1166', '2107']",1907,2,No,TRUE,0,10,1,3,15CD,4.12,1,3.88,1,Wednesday1
0.52,2321,12900,1008,24,4,M,35,34,0.13,"['814', '1008', '1545']",2263,3,No,TRUE,0,10,1,3,15CD,7.725,2,-0.805,1,Wednesday1
0.52,2321,12919,143,24,4,M,35,34,0.12,"['143', '1143']",1900,4,No,TRUE,0,10,1,3,15CD,11.43,1,-3.43,1,Wednesday1
0.52,2321,12939,870,24,4,M,35,34,0.12,"['238', '799', '870', '1537']",2033,5,No,TRUE,0,10,1,3,15CD,3.995,2,3.725,1,Wednesday1
0.4,2326,12844,2041,29,4,M,22,25,0.13,"['306', '484', '901', '1386', '1768', '2041', '2121']",2320,0,No,TRUE,2,45,20,2,5CD,3.575714286,7,2.187142857,3,Wednesday1
0.4,2326,12870,1705,29,4,M,22,25,0.13,"['556', '909', '1250', '1560', '1705', '1848']",2357,1,No,FALSE,2,45,20,2,5CD,3.49,7,1.914285714,3,Wednesday1
0.4,2326,12887,591,29,4,M,22,25,0.15,"['591', '776']",2715,2,No,TRUE,2,45,20,2,5CD,3.647142857,7,1.551428571,3,Wednesday1
0.4,2326,12909,524,29,4,M,22,25,0.15,"['524', '689']",2735,3,No,TRUE,2,45,20,2,5CD,3.976666667,6,1.413333333,3,Wednesday1
0.4,2326,12923,2801,29,4,M,22,25,0.12,"['511', '928', '1280', '1545', '1787', '2083', '2356', '2678', '2801']",2001,4,No,FALSE,2,45,20,2,5CD,3.365714286,7,2.132857143,3,Wednesday1
0.4,2326,12954,423,29,4,M,22,25,0.14,"['409', '423', '719']",2504,5,No,TRUE,2,45,20,2,5CD,3.951666667,6,2.008333333,3,Wednesday1
0.59,2329,12852,1976,22,0,F,20,23,0.14,"['310', '1143', '1976', '2098']",2578,0,No,FALSE,0,50,25,5,30CD,6.993333333,3,-0.246666667,0.5,Wednesday1
